id,ResourceID,Period,Duration,Label1,Value,Unit,Measure,Multiplier
b4011cc7-42a1-45ff-bef1-e85089208c40,CPCOV2,2020-02-29,P1D,Deceased,0,Number,COVID-19 cases,0
eb04ef0d-3dd5-440b-8aed-03372e7b5caa,CPCOV2,2020-02-28,P1D,Deceased,0,Number,COVID-19 cases,0
06f5ddb7-cb3f-4b14-b79e-6bb5b0f52fab,CPCOV2,2020-03-01,P1D,Deceased,0,Number,COVID-19 cases,0
856d5365-bbb8-41ba-83d4-452b6cd0bd6f,CPCOV2,2020-03-02,P1D,Deceased,0,Number,COVID-19 cases,0
4c3091b4-9827-4574-af04-0fe9534856f5,CPCOV2,2020-03-04,P1D,Deceased,0,Number,COVID-19 cases,0
87413621-eafe-438b-b042-3efc486b7f6d,CPCOV2,2020-03-03,P1D,Deceased,0,Number,COVID-19 cases,0
6f74a09d-f588-44a9-8c26-b22dbc418105,CPCOV2,2020-03-05,P1D,Deceased,0,Number,COVID-19 cases,0
f6566796-6d19-4c8b-8783-a1a3ca74fe29,CPCOV2,2020-03-06,P1D,Deceased,0,Number,COVID-19 cases,0
1b55656a-9db4-4883-a459-3dbc4065b22c,CPCOV2,2020-03-12,P1D,Deceased,0,Number,COVID-19 cases,0
7fbd451e-f14b-412a-a7da-1768965a7787,CPCOV2,2020-03-07,P1D,Deceased,0,Number,COVID-19 cases,0
834ede31-636a-4776-aae5-9886d4c24faf,CPCOV2,2020-03-13,P1D,Deceased,0,Number,COVID-19 cases,0
c0def01f-137b-4c8c-98fe-0513b985016e,CPCOV2,2020-03-08,P1D,Deceased,0,Number,COVID-19 cases,0
1444a1b8-1af7-41ed-bd4e-56708111a7a8,CPCOV2,2020-03-09,P1D,Deceased,0,Number,COVID-19 cases,0
b5258034-eb51-4c2e-bc5d-9f30cdf3f7da,CPCOV2,2020-03-10,P1D,Deceased,0,Number,COVID-19 cases,0
633250cf-a2c5-46de-9dd1-3eb0529ee42e,CPCOV2,2020-03-11,P1D,Deceased,0,Number,COVID-19 cases,0
af2674c5-60f2-404c-80a3-5d67f94c0754,CPCOV2,2020-03-15,P1D,Deceased,0,Number,COVID-19 cases,0
c4e155bd-4086-45ce-8d01-32b9e8aaaa04,CPCOV2,2020-03-14,P1D,Deceased,0,Number,COVID-19 cases,0
95dda99d-0363-4694-9912-4a23645d9e18,CPCOV2,2020-03-16,P1D,Deceased,0,Number,COVID-19 cases,0
bcd16efa-abba-4b55-bcba-c2a99fba107c,CPCOV2,2020-03-17,P1D,Deceased,0,Number,COVID-19 cases,0
5baf8b1e-db12-4b95-8a17-97de548ba0f0,CPCOV2,2020-03-18,P1D,Deceased,0,Number,COVID-19 cases,0
ee834071-7081-4b36-b940-38129c0c40e7,CPCOV2,2020-03-22,P1D,Deceased,0,Number,COVID-19 cases,0
90ee3ecf-bb79-4d33-abe0-c6d7bc81171a,CPCOV2,2020-03-19,P1D,Deceased,0,Number,COVID-19 cases,0
e644fc6b-ff38-42ec-afbc-7208712511d9,CPCOV2,2020-03-23,P1D,Deceased,0,Number,COVID-19 cases,0
2aabf8e5-180b-4cde-a107-7c6f5710e094,CPCOV2,2020-03-20,P1D,Deceased,0,Number,COVID-19 cases,0
fa20abbf-6c53-43e5-bd49-fcf209741681,CPCOV2,2020-03-21,P1D,Deceased,0,Number,COVID-19 cases,0
87a84bcb-73ee-4a6b-8f0e-78e2a3ba3b28,CPCOV2,2020-03-24,P1D,Deceased,0,Number,COVID-19 cases,0
d99073bc-ff82-4a80-9280-18922593f534,CPCOV2,2020-03-25,P1D,Deceased,0,Number,COVID-19 cases,0
1815b084-0984-4b95-9ed4-0ba666872293,CPCOV2,2020-03-26,P1D,Deceased,0,Number,COVID-19 cases,0
d56ed1df-5549-4da6-9f04-0e91d3a682f0,CPCOV2,2020-03-27,P1D,Deceased,0,Number,COVID-19 cases,0
b6993ea0-7461-428f-ac9a-3f6d25b4e390,CPCOV2,2020-03-28,P1D,Deceased,0,Number,COVID-19 cases,0
653d332d-1455-4bc6-be89-1cbf996ad7d1,CPCOV2,2020-03-30,P1D,Deceased,1,Number,COVID-19 cases,0
8c8b9e2c-a658-4a6c-91c0-8f7023d0ce2c,CPCOV2,2020-03-29,P1D,Deceased,1,Number,COVID-19 cases,0
f5d1c721-95ed-4062-a067-ad83362eb8d5,CPCOV2,2020-04-04,P1D,Deceased,1,Number,COVID-19 cases,0
f8e71af8-d4fb-486f-bd5e-d3438d581534,CPCOV2,2020-03-31,P1D,Deceased,1,Number,COVID-19 cases,0
4407ab8f-1924-4885-a47c-6848b8fe77c7,CPCOV2,2020-04-01,P1D,Deceased,1,Number,COVID-19 cases,0
d762384e-b95a-4e42-89d0-60fac3d82b00,CPCOV2,2020-04-05,P1D,Deceased,1,Number,COVID-19 cases,0
1f4ef9eb-4f51-48d8-ab00-eff04ed54df9,CPCOV2,2020-04-07,P1D,Deceased,1,Number,COVID-19 cases,0
8fec519e-042b-4512-b53b-09b74ea9bffc,CPCOV2,2020-04-02,P1D,Deceased,1,Number,COVID-19 cases,0
d9f70acb-6846-417e-a8fc-677117e72f4c,CPCOV2,2020-04-03,P1D,Deceased,1,Number,COVID-19 cases,0
7156b705-2695-4f20-a405-818bd3aefeef,CPCOV2,2020-04-06,P1D,Deceased,1,Number,COVID-19 cases,0
04fcdf15-9910-4658-b37f-da1263bb1506,CPCOV2,2020-04-09,P1D,Deceased,1,Number,COVID-19 cases,0
1279f7e8-b7b0-45d9-82ac-40219f9f7fa6,CPCOV2,2020-04-08,P1D,Deceased,1,Number,COVID-19 cases,0
3ef3eb4b-b084-4877-93de-57951cf1e207,CPCOV2,2020-04-10,P1D,Deceased,2,Number,COVID-19 cases,0
975ce7e8-8c15-4e75-b206-81682068525e,CPCOV2,2020-04-11,P1D,Deceased,4,Number,COVID-19 cases,0
0ddb35da-3a4d-4597-af79-ddad56307651,CPCOV2,2020-04-12,P1D,Deceased,4,Number,COVID-19 cases,0
97d31379-c0af-44dd-be93-cc8069231055,CPCOV2,2020-04-13,P1D,Deceased,5,Number,COVID-19 cases,0
9548d48b-50f8-46a4-a9a2-f78ae3104362,CPCOV2,2020-04-16,P1D,Deceased,9,Number,COVID-19 cases,0
e4678bae-99d3-4ccc-8847-462dd2bd9948,CPCOV2,2020-04-14,P1D,Deceased,9,Number,COVID-19 cases,0
25453743-161a-4f4c-ab14-b240fbdc92e5,CPCOV2,2020-04-21,P1D,Deceased,13,Number,COVID-19 cases,0
675911ab-b74d-4e7a-b4f1-42d40c5e5749,CPCOV2,2020-04-15,P1D,Deceased,9,Number,COVID-19 cases,0
610b3d67-fb08-4ca7-946d-2981859c8330,CPCOV2,2020-04-22,P1D,Deceased,14,Number,COVID-19 cases,0
6626646c-5cd7-46b6-8b6f-0eb61e0b8d4a,CPCOV2,2020-04-17,P1D,Deceased,11,Number,COVID-19 cases,0
cf6cfcae-7c46-4826-8e9d-1d7199b2f773,CPCOV2,2020-04-18,P1D,Deceased,11,Number,COVID-19 cases,0
e1b6c65f-bf5f-41f3-b401-02a632c489a6,CPCOV2,2020-04-19,P1D,Deceased,12,Number,COVID-19 cases,0
96707696-dc80-499c-9072-6a493eef1e50,CPCOV2,2020-04-20,P1D,Deceased,12,Number,COVID-19 cases,0
0c1e7a91-8fb4-44fd-9233-00c4e098d1ac,CPCOV2,2020-04-23,P1D,Deceased,16,Number,COVID-19 cases,0
f7a95ebb-7bcc-40b7-b89c-20a07ab276e0,CPCOV2,2020-04-24,P1D,Deceased,17,Number,COVID-19 cases,0
56a0921c-97d0-465d-adb5-a6f715b1d4ba,CPCOV2,2020-04-27,P1D,Deceased,19,Number,COVID-19 cases,0
6b179f79-7378-431d-9840-a3527fecef3f,CPCOV2,2020-04-25,P1D,Deceased,18,Number,COVID-19 cases,0
8cfc66da-7f36-45e4-8e6e-265fff4f4820,CPCOV2,2020-04-26,P1D,Deceased,18,Number,COVID-19 cases,0
a1ca66e2-a516-46b4-8113-157829471eec,CPCOV2,2020-04-28,P1D,Deceased,19,Number,COVID-19 cases,0
060cfa85-79f7-4a4a-9392-66e640d3007d,CPCOV2,2020-04-29,P1D,Deceased,19,Number,COVID-19 cases,0
c80a5327-0c9c-4b7b-850c-dd5109d277c5,CPCOV2,2020-04-30,P1D,Deceased,19,Number,COVID-19 cases,0
06f12bba-d7aa-42d7-bc33-fb9f3a93c87e,CPCOV2,2020-05-01,P1D,Deceased,19,Number,COVID-19 cases,0
af3b9639-d6ef-4aac-a2f2-386a74432e88,CPCOV2,2020-05-02,P1D,Deceased,20,Number,COVID-19 cases,0
4c26e34f-279d-4e01-93c2-1ba0a4a0d631,CPCOV2,2020-05-03,P1D,Deceased,20,Number,COVID-19 cases,0
62c64c42-087e-4984-aff3-f0cf599466f6,CPCOV2,2020-05-04,P1D,Deceased,20,Number,COVID-19 cases,0
06796b7c-4f0c-498d-bf0f-73f8fed60ed2,CPCOV2,2020-05-06,P1D,Deceased,21,Number,COVID-19 cases,0
3afd3bfb-0b9b-4367-9035-3b2979fbc08d,CPCOV2,2020-05-05,P1D,Deceased,20,Number,COVID-19 cases,0
da1b298d-1392-463c-aaa0-f9c4aa3a5776,CPCOV2,2020-05-07,P1D,Deceased,21,Number,COVID-19 cases,0
3478d057-482c-4dde-9651-52dc21c57e95,CPCOV2,2020-05-09,P1D,Deceased,21,Number,COVID-19 cases,0
72692db1-77ac-42e4-876a-1b8b7916f6e8,CPCOV2,2020-05-08,P1D,Deceased,21,Number,COVID-19 cases,0
6637e116-23b6-46e5-ac73-3bfcdc2d65f5,CPCOV2,2020-05-10,P1D,Deceased,21,Number,COVID-19 cases,0
ace0cd84-36f7-42eb-a50e-92dc20918f08,CPCOV2,2020-05-11,P1D,Deceased,21,Number,COVID-19 cases,0
f06ef672-4937-4667-bf87-ebfbecb72c04,CPCOV2,2020-05-12,P1D,Deceased,21,Number,COVID-19 cases,0
3d048830-b68c-4052-81f0-c74423fe29ce,CPCOV2,2020-05-13,P1D,Deceased,21,Number,COVID-19 cases,0
1ed93a7b-2e0b-4410-af71-ae60a9f64e26,CPCOV2,2020-05-16,P1D,Deceased,21,Number,COVID-19 cases,0
33a425d9-d466-424f-a489-c6a9ca8a7009,CPCOV2,2020-05-14,P1D,Deceased,21,Number,COVID-19 cases,0
3c7388e5-042b-4d8d-93b2-c827311d70ed,CPCOV2,2020-05-18,P1D,Deceased,21,Number,COVID-19 cases,0
d2a5da28-d1c2-4065-a7b8-533fc8f43b39,CPCOV2,2020-05-15,P1D,Deceased,21,Number,COVID-19 cases,0
9c3f9950-75ba-4a09-84d5-e2d7bd433d0a,CPCOV2,2020-05-17,P1D,Deceased,21,Number,COVID-19 cases,0
6d96c597-ddfa-48e2-8c18-327fcae484c9,CPCOV2,2020-05-19,P1D,Deceased,21,Number,COVID-19 cases,0
